"","run","var1.pred","var1.var","observed","residual","zscore","fold","coords.x1","coords.x2"
"231","1_6",1.58047091334752,NA,2.22,0.639529086652479,NA,24,-25227.6143322031,6859382.82426704
"232","1_6",2.11086295725997,NA,0.86,-1.25086295725997,NA,25,-25229.7928732454,6859364.38769309
"233","1_6",1.70607399437714,NA,2.11,0.403926005622861,NA,26,-25229.6658600895,6859345.48454124
"234","1_6",1.65841842744374,NA,1.88,0.221581572556256,NA,27,-25230.5338398112,6859325.37703989
"235","1_6",1.03934053568265,NA,0.94,-0.0993405356826513,NA,28,-25228.2615062564,6859306.3711182
"236","1_6",0.624554389954739,NA,0.54,-0.0845543899547387,NA,29,-25228.3923931231,6859286.48983871
"237","1_6",0.556501307410323,NA,0.45,-0.106501307410323,NA,30,-25228.5311171194,6859267.96667413
"238","1_6",0.634372111300919,NA,0.37,-0.264372111300919,NA,31,-25216.951136152,6859268.79197953
"239","1_6",0.588996417584255,NA,0.94,0.351003582415745,NA,32,-25199.0729038136,6859283.9169239
"240","1_6",0.907496962611361,NA,0.74,-0.167496962611361,NA,33,-25191.3392704617,6859302.29334053
"241","1_6",1.09490328912935,NA,0.38,-0.714903289129353,NA,34,-25186.3035844427,6859322.1010684
"242","1_6",1.32030798591308,NA,0.28,-1.04030798591308,NA,35,-25178.1178308248,6859341.31277972
"243","1_6",1.14530752824106,NA,1.62,0.474692471758936,NA,36,-25169.750930662,6859359.59212015
"244","1_6",1.18707914010107,NA,1,-0.187079140101066,NA,37,-25161.6838476773,6859378.03050637
"245","1_6",0.899736601444517,NA,0.58,-0.319736601444517,NA,38,-25155.7261600571,6859396.45305655
"246","1_6",0.894176401025568,NA,0.46,-0.434176401025568,NA,39,-25183.2090774062,6859400.77958134
"247","1_6",0.768927657753179,NA,0.57,-0.198927657753179,NA,40,-25176.0660194027,6859420.94266527
"248","1_6",1.25343170797881,NA,1.63,0.376568292021192,NA,41,-25195.97593388,6859383.40101346
"249","1_6",1.66648460191505,NA,0.85,-0.816484601915047,NA,42,-25201.9846537038,6859364.64708425
"250","1_6",1.08859083145108,NA,2.82,1.73140916854892,NA,43,-25206.7734744295,6859344.68843988
